"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
AAUSat-3	NR	Denmark	Aalborg University	Civil	Technology Development		LEO		0	770	787	1.19E-03	98.63	100.42	1			2/25/2013	<1 yr.	Aalborg University	Denmark	Satish Dhawan Space Center	PSLV	2013-009B	39087			SC - ASCR	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aausat3	http://www.pe0sat.vgnet.nl/satellite/cube-nano-picosats/aausat3/	http://space50.kosmo.cz/s40/2013/INDEX1.HTM																																																																																																																																																																																																																															
"ABS-1A (Koreasat 2, Mugunghwa 2)"	Korea	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		116.54	"35,785"	"35,789"	4.74E-05	1.86	1436.13	"1,459"	800	"1,600"	1/14/1996	10 yrs.	Lockheed Martin Astro Space	USA	Cape Canaveral	Delta 2	1996-003A	23768	Korean peninsula; 15 Ku-band transponders.		JM/12_08	http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1996-003A	http://nssdc.gsfc.nasa.gov/spacewarn/spx507.html	http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat2.html	http://strategis.ic.gc.ca/epic/internet/inimr-ri.nsf/fr/gr-76375f.html	http://www.oosa.unvienna.org/Reports/Regdocs/ser304E.pdf	http://www.absatellite.net/about/index.html																																																																																																																																																																																																																												
"ABS-2 (Koreasat-8, ST-3)"	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		75	"35,778"	"35,793"	1.78E-04	0.08	1436.03	"6,330"		"16,000"	2/6/2014	15 yrs.	Space Systems/Loral	USA	Guiana Space Center	Ariane  5 ECA	2014-006A	39508	"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."		ZARYA	http://www.absatellite.net/satellite-fleet/?sat=abs6	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/	http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam																																																																																																																																																																																																																														
"ABS-3 (Agila 2, Mabuhay 1)"	Philippines	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		146.06	"35,769"	"35,802"	3.91E-04	0.05	1436.07	"3,775"	"1,800"	"9,000"	8/19/1997	15 yrs.	Space Systems/Loral	USA	Xichang Satellite Launch Center	Long March CZ3B	1997-042A	24901	"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links."		JM/12_08	http://www.mabuhaysat.com/sat&net.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.absatellite.net/about/index.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
ABS-3A 	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		-3	"35,788"	"35,803"	1.78E-04	0.1	1436	"2,000"			3/2/2015	15 yrs.	Boeing Satellite Systems		Cape Canaveral	Falcon 9	2015-010A	40424	Coverage of Americas Europe and Africa.			http://www.absatellite.net/satellite-fleet/?sat=abs3a	http://spaceflightnow.com/2015/03/17/innovative-satellites-begin-maneuvers-with-all-electric-thrusters/																																																																																																																																																																																																																																
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)"	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		75	"35,780"	"35,793"	1.54E-04	0.01	1436.1	"4,143"	"1,700"	"7,400"	3/13/2004	12 yrs.	Space Systems/Loral	USA	Cape Canaveral	Atlas 3	2004-007A	28184	Purchased by ABS in 2013.		JM/12_08	http://www.absatellite.net/satellite-fleet/?sat=abs2		http://space.skyrocket.de/doc_sdat/mbsat-1.htm																																																																																																																																																																																																																															
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)"	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		159	"35,777"	"35,794"	2.02E-04	0.01	1436.08	"2,894"	"1,730"	"6,800 (EOL)"	9/26/1999	15 yrs.	Lockheed Martin	USA	Baikonur Cosmodrome	Proton	1999-053A	25924	"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."		JM/12_08	http://www.washingtonpost.com/wp-dyn/articles/A18888-2004May11.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx551.html	http://www.interpsputnik.com/1mi1chars.shtml	http://www.intersputnik.com/press_270999.htm																																																																																																																																																																																																																														
"ABS-7 (Koreasat 3, Mugungwha 3)"	Korea	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		116.18	"35,780"	"35,791"	1.30E-04	0.01	1436.06	"3,500"	"1,800"	"4,800"	9/4/1999	15 yrs.	Lockheed Martin Astro Space	USA	Guiana Space Center	Ariane	1999-046A	25894	"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."		JM/12_08	http://www.planet4589.org/space/jsr/back/news.407	http://lmms.external.lmco.com/newsbureau/pressreleases/1999/99.202.html	http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat3.html			http://www.absatellite.net/about/index.html																																																																																																																																																																																																																												
"Advanced Orion 2 (NROL 6, USA 139)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		-14.5	"35,560"	"36,013"	5.37E-03	7.72	1436.14	"4,500"			5/9/1998		TRW Space and Electronics	USA	Cape Canaveral	Titan IVA	1998-029A	25336	ELINT.		JM/12_08	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1998.html#Orion	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.msnbc.com/news/185953.asp#BODY	http://www.lib.cas.cz/www/space.40/1990/097B.HTM																																																																																																																																																																																																																														
"Advanced Orion 3 (NROL 19, USA 171)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		95.4	"35,589"	"35,984"	4.68E-03	3.2	1436.1	"4,500"			9/9/2003		TRW Space and Electronics	USA	Cape Canaveral	Titan IV	2003-041A	27937	Electronic intelligence (ELINT). 		JM/12_08	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx599.html	http://www.fsri.org/FSRI%20Archives/Aerospace%20News/Aerospace%20Update%2009-15-03.pdf	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.lib.cas.cz/knav/space.40/2003/041A.HTM																																																																																																																																																																																																																													
"Advanced Orion 4 (NRO L-26, USA 202)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		44	"35,714"	"35,937"	2.64E-03	2.89	1438.8	"5,000"			1/18/2009		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	2009-001A	33490	ELINT.		SC - ASCR	http://www.globalsecurity.org/space/systems/trumpet.htm	http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html	http://www.sworld.com.au/steven/space/usmil-man.txt	http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/																																																																																																																																																																																																																														
