Chief among these motives was the overwhelming idea of the great whale himself.	jj-in-dt-nns-vbd-dt-jj-nn-in-dt-jj-nn-prp-.	ch-iy-f ah-m-ah-ng dh-iy-z m-ow-t-ih-v-z w-aa-z dh-ah ow-v-er-w-eh-l-m-ih-ng ay-d-iy-ah ah-v dh-ah g-r-ey-t w-ey-l hh-ih-m-s-eh-l-f .	1 0/1 1 1/0 1 0 0/0/1/0 0/1/0 1 0 1 1 0/1 .
Then the wild and distant seas where he rolled his island bulk; the undeliverable, nameless perils of the whale; these, with all the attending marvels of a thousand Patagonian sights and sounds, helped to sway me to my wish.	rb-dt-jj-cc-jj-nns-wrb-prp-vbd-prp$-nn-nn-;-dt-nn-,-jj-nns-in-dt-nn-;-dt-,-in-dt-dt-vbg-nns-in-dt-nn-nnp-vbz-cc-vbz-,-vbd-to-vb-prp-to-prp$-vbp-.	dh-eh-n dh-ah w-ay-l-d ae-n-d d-ih-s-t-ah-n-t s-iy-z w-eh-r hh-iy r-ow-l-d hh-ih-z ay-l-ah-n-d b-ah-l-k ; dh-ah ah-n-d-ah-l-ih-v-er-ah-b-ah-l , n-ey-m-l-ah-s p-eh-er-ah-l-z ah-v dh-ah w-ey-l ; dh-iy-z , w-ih-dh ao-l dh-ah ah-t-eh-n-d-ih-ng m-aa-r-v-ah-l-z ah-v ey th-aw-s-ah-n-d p-ae-t-ae-g-ow-n-iy-ah-n s-ay-t-s ae-n-d s-aw-n-d-z , hh-eh-l-p-t t-uw s-w-ey m-iy t-uw m-ay w-ih-sh .	1 0 1 1 1/0 1 1 1 1 1 1/0 1 ; 0 1/0/1/0/0 , 1/0 1 1 0 1 ; 1 , 1 1 0 0/1/0 1/0 1 1 1/0 1/1/1/0 1 1 1 , 1 1 1 1 1 1 1 .
By reason of these things, then, the whaling voyage was welcome; the great flood-gates of the wonder-world swung open, and in the wild conceits that swayed me to my purpose, two and two there floated into my inmost soul, endless processions of the whale, and, mid most of them all, one grand hooded phantom, like a snow hill in the air.	in-nn-in-dt-nns-,-rb-,-dt-nn-nn-vbd-jj-;-dt-jj-nns-in-dt-nn-vbd-jj-,-cc-in-dt-jj-nns-in-vbd-prp-to-prp$-nn-,-cd-cc-cd-ex-vbd-in-prp$-nn-nn-,-jj-nns-in-dt-nn-,-cc-,-jj-rbs-in-prp-dt-,-cd-jj-nn-jj-,-in-dt-nn-nn-in-dt-nn-.	b-ay r-iy-z-ah-n ah-v dh-iy-z th-ih-ng-z , dh-eh-n , dh-ah w-ey-l-ih-ng v-oy-ah-jh w-aa-z w-eh-l-k-ah-m ; dh-ah g-r-ey-t f-l-ah-d-g-ey-t-s ah-v dh-ah w-ah-n-d-er-w-er-l-d s-w-ah-ng ow-p-ah-n , ae-n-d ih-n dh-ah w-ay-l-d k-ah-n-s-iy-t-s dh-ae-t s-w-ey-d m-iy t-uw m-ay p-er-p-ah-s , t-uw ae-n-d t-uw dh-eh-r f-l-ow-t-ah-d ih-n-t-uw m-ay ih-n-m-ow-s-t s-ow-l , eh-n-d-l-ah-s p-r-aa-s-eh-sh-ah-n-z ah-v dh-ah w-ey-l , ae-n-d , m-ih-d m-ow-s-t ah-v dh-eh-m ao-l , w-ah-n g-r-ae-n-d hh-uh-d-ah-d f-ae-n-t-ah-m , l-ay-k ey s-n-ow hh-ih-l ih-n dh-ah eh-r .	1 1/0 1 1 0 , 1 , 0 1/0 1/0 1 1/0 ; 0 1 1/1 1 0 1/0/1 1 1/0 , 1 0 0 1 0/1 1 1 1 1 1 1/0 , 1 1 1 1 1/0 0/1 1 1/1 1 , 1/0 1/1/0 1 0 1 , 1 , 1 1 1 1 1 , 1 1 1/0 1/0 , 1 1 1 1 0 0 1 .
Besides though New Bedford has of late been gradually monopolising the business of whaling, and though in this matter poor old Nantucket is now much behind her, yet Nantucket was her great original--the Tyre of this Carthage;--the place where the first dead American whale was stranded.	in-in-jj-nnp-vbz-in-jj-vbn-rb-nn-dt-nn-in-nn-,-cc-in-in-dt-nn-jj-jj-nnp-vbz-rb-jj-in-prp$-,-rb-nnp-vbd-prp$-jj-jj-cd-dt-nnp-in-dt-nnp-;-cd-dt-nn-wrb-dt-jj-jj-nnp-nn-vbd-vbn-.	b-ih-s-ay-d-z dh-ow n-uw b-eh-d-f-er-d hh-ae-z ah-v l-ey-t b-ih-n g-r-ae-jh-uw-ah-l-iy m-ah-n-aa-p-ah-l-ay-s-ih-ng dh-ah b-ih-z-n-ah-s ah-v w-ey-l-ih-ng , ae-n-d dh-ow ih-n dh-ih-s m-ae-t-er p-uh-r ow-l-d n-ae-n-t-ah-k-ah-t ih-s n-aw m-ah-ch b-ih-hh-ay-n-d hh-er , y-eh-t n-ae-n-t-ah-k-ah-t w-aa-z hh-er g-r-ey-t er-ih-jh-ah-n-ah-l -- dh-ah t-ay-r ah-v dh-ih-s k-aa-r-th-ih-jh ; -- dh-ah p-l-ey-s w-eh-r dh-ah f-er-s-t d-eh-d ah-m-eh-r-ah-k-ah-n w-ey-l w-aa-z s-t-r-ae-n-d-ah-d .	0/1 1 1 1/0 1 1 1 1 1/0/0/0 0/1/0/1/0 0 1/0 1 1/0 , 1 1 0 1 1/0 1 1 1/1/0 1 1 1 0/1 0 , 1 1/1/0 1 0 1 0/1/0/0 -- 0 1 1 1 1/0 ; -- 0 1 1 0 1 1 0/1/0/0 1 1 1/0 .
Where else but from Nantucket did those aboriginal whalemen, the Red-Men, first sally out in canoes to give chase to the Leviathan?	wrb-rb-cc-in-nnp-vbd-dt-jj-nn-,-dt-nnp-,-jj-rb-in-in-nns-to-vb-nn-to-dt-jj-?	w-eh-r eh-l-s b-ah-t f-r-ah-m n-ae-n-t-ah-k-ah-t d-ih-d dh-ow-z ae-b-er-ih-jh-ah-n-ah-l w-aa-l-m-ah-n , dh-ah r-eh-d-m-ah-n , f-er-s-t s-ae-l-iy aw-t ih-n k-ah-n-ow-z t-uw g-ih-v ch-ey-s t-uw dh-ah l-ah-v-ay-ah-th-ah-n ?	1 1 1 1 1/1/0 1 1 0/0/1/0/0 1/0 , 0 1/0 , 1 1/0 1 0 0/0 1 1 1 1 0 0/1/0/0 ?
And where but from Nantucket, too, did that first adventurous little sloop put forth, partly laden with imported cobblestones--so goes the story--to throw at the whales, in order to discover when they were nigh enough to risk a harpoon from the bowsprit?	cc-wrb-cc-in-nnp-,-rb-,-vbd-in-jj-jj-jj-nn-vb-rb-,-rb-jj-in-vbn-nns-cd-rb-vbz-dt-nn-cd-to-vb-in-dt-nns-,-in-nn-to-vb-wrb-prp-vbd-rb-rb-to-nn-dt-nn-in-dt-nn-?	ae-n-d w-eh-r b-ah-t f-r-ah-m n-ae-n-t-ah-k-ah-t , t-uw , d-ih-d dh-ae-t f-er-s-t ae-d-v-eh-n-ch-er-ah-s l-ih-t-ah-l s-l-uw-p p-uh-t f-ao-r-th , p-aa-r-t-l-iy l-ey-d-ah-n w-ih-dh ih-m-p-ao-r-t-ih-d k-aa-b-ah-l-s-t-ow-n-z -- s-ow g-ow-z dh-ah s-t-ao-r-iy -- t-uw th-r-ow ae-t dh-ah w-ah-l-z , ih-n ao-r-d-er t-uw d-ih-s-k-ah-v-er w-eh-n dh-ey w-er n-ay ih-n-ah-f t-uw r-ih-s-k ey hh-aa-r-p-uw-n f-r-ah-m dh-ah b-aw-z-p-r-ih-t ?	1 1 1 1 1/1/0 , 1 , 1 1 1 0/1/0/0 1/0 1 1 1 , 1/0 1/0 1 0/1/0 1/0/1 -- 1 1 0 1/0 -- 1 1 1 0 0 , 0 1/0 1 0/1/0 1 1 0 1 0/1 1 1 1 0/1 1 0 1/1 ?
The picture represents a Cape-Horner in a great hurricane; the half-foundered ship weltering there with its three dismantled masts alone visible; and an exasperated whale, purposing to spring clean over the craft, is in the enormous act of impaling himself upon the three mast-heads.	dt-nn-vbz-dt-nnp-in-dt-jj-nn-;-dt-nn-nn-nn-ex-in-prp$-cd-vbn-nns-rb-jj-;-cc-dt-jj-nn-,-nn-to-vbg-jj-in-dt-nn-,-vbz-in-dt-jj-nn-in-nn-prp-in-dt-cd-nns-.	dh-ah p-ih-k-ch-er r-eh-p-r-ah-z-eh-n-t-s ey k-ey-p-hh-ao-r-n-er ih-n ey g-r-ey-t hh-er-ah-k-ey-n ; dh-ah hh-ae-f-f-aw-n-d-er-d sh-ih-p w-eh-l-t-er-ih-ng dh-eh-r w-ih-dh ih-t-s th-r-iy d-ih-s-m-ae-n-t-ah-l-d m-ae-s-t-s ah-l-ow-n v-ih-z-ah-b-ah-l ; ae-n-d ae-n ih-g-z-ae-s-p-er-ey-t-ih-d w-ey-l , p-er-p-ow-z-ih-ng t-uw s-p-r-ih-ng k-l-iy-n ow-v-er dh-ah k-r-ae-f-t , ih-s ih-n dh-ah ih-n-ao-r-m-ah-s ae-k-t ah-v ih-m-p-ah-l-ih-ng hh-ih-m-s-eh-l-f ah-p-aa-n dh-ah th-r-iy m-ae-s-t-hh-eh-d-z .	0 1/0 0/0/1 1 1/1/0 0 1 1 1/0/0 ; 0 1/0/0 1 1/0 1 1 1 1 0/1/0 1 0/1 1/0/0 ; 1 1 0/1/0/0/0 1 , 1/1/0 1 1 1 1/0 0 1 , 1 0 0 0/1/0 1 1 1/0/0 0/1 0/1 0 1 1/1 .
With this once long lance, now wildly elbowed, fifty years ago did Nathan Swain kill fifteen whales between a sunrise and a sunset.	in-dt-jj-jj-nn-,-rb-rb-nn-,-nn-nns-rb-vbd-nnp-nnp-vb-nn-nns-in-dt-nn-cc-dt-nn-.	w-ih-dh dh-ih-s w-ah-n-s l-ao-ng l-ae-n-s , n-aw w-ay-l-d-l-iy eh-l-b-ow-d , f-ih-f-t-iy y-ih-r-z ah-g-ow d-ih-d n-ae-th-ah-n s-w-ey-n k-ih-l f-ih-f-t-iy-n w-ah-l-z b-ih-t-w-iy-n ey s-ah-n-r-ay-z ae-n-d ey s-ah-n-s-eh-t .	1 1 1 1 1 , 1 1/0 1/1 , 1/0 1 0/1 1 1/0 1 1 1/1 0 0/1 1 1/0 1 1 1/0 .
And that harpoon--so like a corkscrew now--was flung in Javan seas, and run away with by a whale, years afterwards slain off the Cape of Blanco.	cc-in-nn-cd-rb-in-dt-nn-rb-cd-vbd-vbd-in-nnp-vbz-,-cc-vb-rb-in-in-dt-nn-,-nns-rb-vbn-in-dt-nnp-in-nnp-.	ae-n-d dh-ae-t hh-aa-r-p-uw-n -- s-ow l-ay-k ey k-ao-r-k-s-k-r-uw n-aw -- w-aa-z f-l-ah-ng ih-n jh-ah-v-ah-n s-iy-z , ae-n-d r-ah-n ah-w-ey w-ih-dh b-ay ey w-ey-l , y-ih-r-z ae-f-t-er-w-er-d-z s-l-ey-n ao-f dh-ah k-ey-p ah-v b-l-ae-ng-k-ow .	1 1 0/1 -- 1 1 1 1/0 1 -- 1 1 0 0/0 1 , 1 1 0/1 1 1 1 1 , 1 1/0/0 1 1 0 1 1 1/0 .
Projecting from the further angle of the room stands a dark-looking den--the bar--a rude attempt at a right whale's head.	vbg-in-dt-jj-nn-in-dt-nn-vbz-dt-nn-nn-cd-dt-nn-cd-dt-jj-nn-in-dt-nn-nns-vbp-.	p-r-ah-jh-eh-k-t-ih-ng f-r-ah-m dh-ah f-er-dh-er ae-ng-g-ah-l ah-v dh-ah r-uw-m s-t-ae-n-d-z ey d-aa-r-k-l-uh-k-ih-ng d-eh-n -- dh-ah b-aa-r -- ey r-uw-d ah-t-eh-m-p-t ae-t ey r-ay-t w-aa-l-ah-z hh-eh-d .	0/1/0 1 0 1/0 1/0 1 0 1 1 1 1/1/0 1 -- 0 1 -- 1 1 0/1 1 1 1 1/0 1 .
Be that how it may, there stands the vast arched bone of the whale's jaw, so wide, a coach might almost drive beneath it.	vb-in-wrb-prp-md-,-ex-nns-dt-jj-jj-nn-in-dt-nns-nn-,-rb-jj-,-dt-nn-md-rb-nn-in-prp-.	b-iy dh-ae-t hh-aw ih-t m-ey , dh-eh-r s-t-ae-n-d-z dh-ah v-ae-s-t aa-r-ch-t b-ow-n ah-v dh-ah w-aa-l-ah-z jh-ao , s-ow w-ay-d , ey k-ow-ch m-ay-t ao-l-m-ow-s-t d-r-ay-v b-ih-n-iy-th ih-t .	1 1 1 1 1 , 1 1 0 1 1 1 1 0 1/0 1 , 1 1 , 1 1 1 1/0 1 0/1 1 .
